density,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2.1428857142857143,11.42,11.54,11.56,11.62,11.54,11.66,11.68,11.7,11.7,11.66,11.6,11.52,11.44,11.5,11.66,11.6,11.62,11.6,11.62,11.62,11.58,11.58,11.54,11.56,11.56,11.56,11.6,11.56,11.44,11.46,11.4,11.44,11.4,11.34,11.36,11.36,11.34,11.3,11.24,11.38,11.42,11.32,11.32,11.36,11.36,11.38,11.38,11.38,11.44,11.38,11.48,11.48,11.58,11.46,11.54,11.64,11.68,11.72,11.72,11.76,11.78,11.82,11.9,11.94,11.84,11.86,11.84,11.86,11.88,11.94,11.9,11.88,11.86,11.8,11.8,11.72,11.7,11.62,11.64,11.64,11.56,11.54,11.54,11.58,11.52,11.54,11.5,11.44,11.36,11.32,11.36,11.38,11.36,11.44,11.44,11.48,11.54,11.52,11.5,11.4
2.3571642857142856,11.14,11.1,11.1,11.12,11.14,11.2,11.2,11.24,11.28,11.36,11.32,11.34,11.34,11.44,11.5,11.42,11.46,11.5,11.44,11.6,11.58,11.56,11.5,11.6,11.6,11.66,11.64,11.64,11.66,11.66,11.54,11.64,11.72,11.72,11.78,11.74,11.7,11.62,11.58,11.68,11.78,11.8,11.84,11.72,11.84,11.84,11.78,11.8,11.86,11.9,11.82,12.0,11.92,11.96,11.96,11.92,11.9,12.04,12.04,12.16,12.2,12.12,12.1,12.06,12.16,12.12,12.06,12.08,12.04,12.14,12.16,12.16,12.14,12.18,12.2,12.12,12.18,12.32,12.28,12.3,12.36,12.38,12.34,12.32,12.32,12.34,12.38,12.38,12.4,12.36,12.34,12.36,12.4,12.48,12.46,12.4,12.48,12.62,12.66,12.68
2.571442857142857,12.28,12.34,12.3,12.38,12.34,12.32,12.36,12.32,12.3,12.32,12.42,12.46,12.46,12.5,12.58,12.6,12.66,12.64,12.7,12.7,12.68,12.64,12.72,12.7,12.74,12.82,12.86,12.9,12.82,12.86,12.84,12.86,12.88,12.76,12.8,12.8,12.88,12.88,12.92,12.82,12.8,12.76,12.82,12.86,12.84,12.84,12.92,12.82,12.72,12.76,12.78,12.7,12.7,12.66,12.72,12.72,12.64,12.72,12.7,12.68,12.72,12.7,12.68,12.76,12.88,12.84,12.7,12.78,12.86,12.94,12.88,12.88,12.9,12.98,12.92,12.98,13.0,13.1,13.06,13.18,13.26,13.12,13.18,13.18,13.2,13.22,13.32,13.26,13.3,13.28,13.36,13.36,13.58,13.56,13.6,13.64,13.58,13.56,13.62,13.52
2.7857214285714282,15.12,15.18,15.16,15.14,15.04,15.02,15.0,14.96,14.92,15.0,14.98,15.0,14.94,14.74,14.72,14.62,14.56,14.48,14.5,14.54,14.52,14.5,14.46,14.44,14.38,14.38,14.38,14.38,14.54,14.5,14.52,14.58,14.5,14.48,14.44,14.4,14.44,14.44,14.46,14.32,14.34,14.24,14.3,14.32,14.4,14.36,14.24,14.32,14.26,14.2,14.34,14.32,14.08,14.14,14.18,14.12,14.02,14.1,14.06,13.96,13.92,13.92,13.86,13.9,13.96,13.84,14.02,14.08,14.14,14.18,14.18,14.28,14.24,14.28,14.3,14.22,14.18,14.24,14.12,14.24,14.24,14.22,14.22,14.28,14.34,14.32,14.2,14.24,14.26,14.26,14.2,14.18,14.2,14.14,14.16,14.08,14.16,14.24,14.26,14.18
3.0,12.94,12.92,12.9,12.9,12.92,13.0,13.14,13.18,12.98,12.96,12.88,13.04,13.06,13.0,13.04,13.28,13.26,13.12,13.1,13.08,13.12,13.24,13.34,13.18,13.28,13.34,13.32,13.32,13.28,13.26,13.2,13.22,13.24,13.28,13.32,13.34,13.38,13.36,13.38,13.34,13.34,13.38,13.44,13.34,13.48,13.34,13.24,13.14,13.16,13.04,13.02,12.94,12.98,12.9,12.94,12.88,12.68,12.76,12.76,12.76,12.82,12.86,12.94,13.06,13.1,13.12,13.22,13.22,13.2,13.18,13.2,13.16,13.2,13.22,13.14,13.22,13.1,13.12,13.02,13.1,13.02,13.02,13.0,13.2,13.12,13.06,13.06,13.04,12.96,13.02,13.08,13.04,13.0,12.94,13.0,13.0,13.18,13.26,13.22,13.26
3.5,16.12,16.14,16.12,16.04,16.02,16.02,16.08,16.08,16.14,16.04,16.02,15.98,16.04,15.86,15.88,15.72,15.72,15.68,15.84,15.66,15.72,15.78,15.76,15.7,15.68,15.7,15.66,15.64,15.7,15.74,15.9,15.84,15.78,15.68,15.76,15.76,15.7,15.72,15.88,15.74,15.68,15.66,15.7,15.84,15.74,15.82,15.78,15.76,15.78,15.68,15.66,15.52,15.46,15.6,15.68,15.76,15.92,15.9,15.92,15.92,15.94,15.94,15.8,15.86,15.88,16.08,16.2,16.2,16.16,16.1,16.06,16.04,15.92,16.04,15.98,16.0,15.98,16.14,16.26,16.26,16.22,16.22,16.16,16.08,16.0,16.08,16.08,15.96,15.98,15.94,15.92,15.86,15.88,15.8,15.82,15.8,15.72,15.62,15.7,15.7
5.125,24.38,24.44,24.52,24.5,24.28,24.48,24.52,24.42,24.1,23.96,23.84,23.76,23.78,23.7,23.82,23.8,23.74,23.68,23.72,23.8,23.72,23.72,23.66,23.76,23.54,23.52,23.56,23.48,23.4,23.34,23.16,23.18,23.26,23.3,23.22,23.26,23.28,23.26,23.1,23.3,23.28,23.32,23.34,23.38,23.24,23.38,23.28,23.3,23.3,23.42,23.4,23.38,23.46,23.36,23.42,23.42,23.42,23.5,23.52,23.62,23.52,23.62,23.86,23.88,23.76,23.84,23.76,23.78,23.74,23.78,23.66,23.52,23.54,23.62,23.5,23.54,23.74,23.76,23.76,23.82,23.94,23.82,23.94,23.78,23.86,24.0,24.06,24.04,24.04,24.0,23.96,24.02,23.82,23.78,23.84,23.72,23.66,23.6,23.66,23.66
6.75,27.28,27.38,27.18,27.28,27.22,27.2,27.22,27.22,27.22,27.36,27.4,27.32,27.46,27.56,27.52,27.5,27.4,27.46,27.6,27.64,27.6,27.62,27.74,27.64,27.54,27.48,27.42,27.46,27.36,27.46,27.42,27.36,27.42,27.46,27.22,27.36,27.22,27.18,27.18,27.18,27.16,27.16,27.1,27.06,27.1,27.14,27.12,27.24,27.18,27.12,27.02,26.9,26.94,26.94,26.94,27.02,27.16,27.12,27.08,26.88,27.04,27.16,27.1,27.12,27.16,27.3,27.34,27.24,27.4,27.42,27.44,27.44,27.34,27.42,27.42,27.4,27.44,27.52,27.5,27.58,27.6,27.6,27.58,27.46,27.42,27.4,27.38,27.4,27.42,27.58,27.68,27.56,27.64,27.76,27.64,27.74,27.76,27.84,27.76,27.9
8.375,34.34,34.5,34.36,34.54,34.54,34.48,34.52,34.5,34.56,34.56,34.52,34.56,34.5,34.7,34.46,34.58,34.74,34.64,34.74,34.58,34.6,34.52,34.56,34.6,34.82,34.86,34.8,34.76,34.76,34.76,34.98,34.86,35.04,34.94,34.9,34.9,34.9,34.88,34.76,34.78,34.8,34.82,35.0,34.92,34.74,34.66,34.72,34.56,34.74,34.48,34.48,34.64,34.64,34.66,34.74,34.7,34.8,34.92,34.92,34.68,34.76,34.8,34.76,34.88,34.6,34.62,34.7,34.44,34.38,34.32,34.52,34.66,34.64,34.56,34.54,34.46,34.52,34.56,34.48,34.42,34.44,34.4,34.38,34.3,34.26,34.12,34.26,34.08,34.1,34.22,34.38,34.32,34.46,34.46,34.6,34.82,34.68,34.5,34.44,34.66
10.0,42.84,42.72,43.04,42.96,43.04,43.1,42.94,42.76,42.86,42.74,42.7,42.74,42.78,42.48,42.68,42.5,42.68,42.74,42.68,42.66,42.74,42.58,42.78,42.52,42.54,42.36,42.48,42.38,42.44,42.5,42.52,42.52,42.4,42.4,42.46,42.46,42.52,42.6,42.48,42.54,42.76,42.72,42.6,42.3,42.4,42.28,42.26,42.28,42.28,42.56,42.52,42.48,42.62,42.26,42.4,42.58,42.64,42.6,42.52,42.6,42.68,42.56,42.7,42.64,42.68,42.66,42.74,42.58,42.58,42.48,42.36,42.36,42.48,42.6,42.46,42.6,42.58,42.62,42.74,42.62,42.58,42.48,42.42,42.5,42.32,42.2,42.3,42.48,42.42,42.48,42.24,42.18,42.2,42.28,42.22,42.26,42.22,42.36,42.28,42.12
